Day,Interest_Rate,Inflation_Rate,Trading_Volume,Previous_Close,Current_Close
1,2.5,1.2,150.5,105.20,106.50
2,2.5,1.2,165.2,106.50,107.80
3,2.6,1.3,140.0,107.80,107.00
4,2.6,1.3,180.8,107.00,109.10
5,2.7,1.4,130.4,109.10,108.50
6,2.7,1.4,195.0,108.50,111.20
7,2.8,1.5,120.5,111.20,109.80
8,2.8,1.5,210.1,109.80,112.50
9,2.9,1.6,115.0,112.50,110.10
10,2.9,1.6,225.5,110.10,114.00
11,3.0,1.7,110.2,114.00,112.50
12,3.0,1.7,240.3,112.50,116.80
13,3.1,1.8,105.5,116.80,114.20
14,3.1,1.8,255.0,114.20,118.50
15,3.2,1.9,100.1,118.50,116.00
