Trade_Volume_Millions,Execution_Slippage_Bps
18.7896,62.5413
47.5406,1326.1565
36.6265,494.9374
29.9731,201.6924
7.8853,30.0391
7.8841,11.6903
2.9984,15.1083
43.3222,919.6224
30.0956,247.0622
35.4328,396.9288
1.1272,5.7351
48.4985,1307.1428
41.6389,797.9712
10.6957,15.3619
9.1731,5.1153
9.2519,26.7263
15.2817,19.5323
26.2853,153.3617
21.6541,68.7026
14.6323,39.7197
30.6315,275.9681
7.0607,20.9706
14.678,29.8031
18.3815,43.8088
22.8579,76.5189
39.2803,625.7579
10.0637,25.9065
25.7603,171.9314
29.6615,242.5113
2.4179,14.4585
30.4165,252.342
8.6092,24.5929
3.3461,3.8445
47.4494,1230.8257
48.285,1348.2802
40.439,725.9038
15.3002,27.3007
4.9738,9.7817
34.2432,388.5595
22.0636,77.633
6.1897,24.2681
24.8093,134.5336
1.816,15.6044
45.4751,1104.7988
13.0131,23.8623
33.1599,354.0736
15.6544,56.4942
26.0514,140.112
27.3808,177.5227
9.3242,21.3302
48.4823,1348.7798
38.7791,590.7516
46.981,1241.9015
44.7519,993.6394
29.9352,273.5114
46.1015,1172.16
4.5158,17.5437
9.8795,21.9257
2.3568,8.0222
16.334,38.2205
19.495,71.3996
13.6403,21.2111
41.454,809.6008
17.902,58.2648
14.1186,28.1449
27.1805,183.3289
7.1321,13.4907
40.1296,687.5633
3.8201,25.8042
49.3457,1467.4023
38.635,613.3458
10.0159,22.5681
0.3756,3.5717
40.7915,730.8106
35.3722,422.4071
36.4775,503.6756
38.5864,622.7931
3.7948,13.6319
17.9874,52.1651
5.8819,13.8581
43.1689,893.3754
31.2026,263.0487
16.6118,36.1982
3.2716,14.2601
15.618,40.8539
16.3266,30.555
36.5073,501.3938
31.9141,284.2833
44.3719,994.6611
23.6635,138.1433
6.0678,16.157
35.6909,425.0225
38.0632,590.5907
28.1077,196.5216
38.5713,608.8823
24.7404,142.073
26.1844,137.7251
21.4343,67.0636
1.3684,9.9634
5.4838,23.6505
1.6683,9.9526
31.8569,299.1079
15.7864,38.5256
25.4777,147.1349
45.3876,1031.7139
12.5397,16.334
20.5781,66.2608
37.802,572.0025
11.517,42.8364
3.9413,14.6005
14.5586,33.0523
8.1449,15.658
46.4919,1180.8011
40.4252,682.7965
31.7068,295.1702
43.5859,902.5374
40.2032,645.6771
9.4098,42.196
44.6387,1028.1436
27.0132,179.798
40.3913,727.2422
44.815,1058.2014
15.9684,37.5663
5.5916,22.8534
11.474,19.3823
21.4127,73.8069
40.9189,703.6639
43.0505,891.278
0.4469,2.4281
25.5863,135.5055
20.9288,82.1429
11.1832,25.9515
6.0813,24.6356
16.947,33.7001
47.1512,1232.8504
16.2278,29.83
25.9877,142.463
35.1806,423.5993
18.2451,35.964
48.5919,1347.7846
48.1261,1329.5178
12.6639,17.2046
24.9127,115.2177
15.1138,45.533
14.3135,44.1805
1.9407,13.2699
30.5173,288.5371
25.1837,151.5258
2.6688,11.7795
14.0045,48.7883
45.4225,1111.9226
12.0541,23.9954
7.3303,21.3369
24.5237,108.7885
49.284,1425.4439
12.1786,10.7317
33.6396,354.1077
38.1048,590.5889
11.9581,15.2946
36.438,481.2751
18.4524,56.5027
31.6521,288.0966
31.7131,317.3099
26.8352,182.2581
4.6055,13.0991
41.7816,786.3822
16.1069,36.8881
9.4073,16.315
2.1347,17.2343
29.5856,222.8654
33.9105,394.655
0.9277,1.038
25.6534,126.6356
11.4021,14.2101
32.2941,291.79
8.8009,17.0889
34.5778,411.3736
19.3981,76.3053
46.8428,1189.4441
6.9623,19.8551
17.1192,45.3259
5.7623,13.752
46.2422,1141.0512
43.8792,1000.4583
12.9713,30.0607
33.0332,383.2204
40.8794,737.6881
27.8045,173.9016
26.5296,173.151
12.1684,36.3237
4.7458,13.9377
44.8711,1035.7994
45.0309,1037.8952
31.6918,268.8578
17.0176,25.628
17.5256,41.2983
36.3252,506.8392
44.8658,1047.7284
44.3656,963.103
39.0158,598.5201
32.1374,293.458
4.2986,10.9114
8.1653,14.1332
44.9379,980.3535
30.3608,208.2243
0.5589,-3.7529
5.1634,8.5853
33.2087,371.966
0.3526,15.154
8.1243,34.6097
27.4818,181.0624
34.6256,390.1767
32.6329,319.3997
11.291,24.7152
35.6377,493.4318
11.9387,15.5662
16.3374,37.4774
37.3499,535.4268
32.5167,321.8372
42.4762,796.3169
32.9149,332.7068
28.4586,177.0144
4.7744,28.9769
18.449,56.6304
13.3336,37.9783
12.2751,16.9422
48.6532,1352.7996
19.7156,85.7523
44.6131,1031.7134
31.5938,299.528
39.7611,698.2781
25.1816,160.7873
28.8875,237.7904
24.6766,137.5428
9.8426,30.9214
36.1504,467.2449
14.1105,31.1569
1.3134,10.2387
32.3091,322.236
8.9378,24.7838
47.0289,1207.834
47.701,1200.2611
45.7517,1117.0253
18.5709,51.8372
0.8713,6.4264
46.4231,1215.1886
21.4664,81.6641
48.3361,1312.2492
48.1846,1338.1435
42.6652,860.532
14.793,42.8954
19.3164,48.6147
42.5717,831.9889
15.9144,29.6335
8.5577,8.1195
27.8844,178.8614
46.8141,1234.1891
34.8319,399.8941
28.5461,179.0845
4.9491,14.0324
30.7889,269.7481
49.5037,1429.797
7.0902,19.9133
25.9646,148.8471
43.8809,948.5649
37.0644,516.8696
34.8811,452.9003
35.154,432.3698
18.0386,37.3835
14.7502,38.9797
40.4871,710.7727
40.5247,716.192
43.3669,934.6981
45.6707,1127.3152
25.616,120.1554
25.1257,156.1696
39.9349,676.5509
32.5332,323.0155
35.1281,406.8321
39.8101,687.585
44.5113,961.7849
16.966,46.7612
18.8416,72.9934
4.7897,14.9781
28.9562,232.0311
1.8935,10.1341
23.3333,80.1001
27.178,172.0509
14.3984,28.1447
29.5826,246.069
1.622,7.4951
1.9637,12.0284
41.1478,729.6604
18.0735,52.2859
6.4403,18.9532
26.1599,146.6253
38.5227,596.6576
10.8695,20.4921
31.1822,280.7672
4.3588,14.9303
2.6789,7.967
26.6146,136.8087
27.0777,159.6805
31.9078,296.1844
36.332,419.2296
48.795,1379.6011
25.8634,177.965
16.2155,44.5452
39.7798,664.7352
13.6145,19.8696
22.0047,59.2401
4.015,19.7589
1.365,9.5108
48.1362,1281.4233
41.8154,822.1512
34.8291,431.7527
20.5068,57.8458
8.7474,18.7125
7.9062,21.8982
12.5871,30.7406
27.5064,159.1192
35.7583,467.7537
33.0438,344.0359
14.0687,40.2178
47.7478,1298.4654
36.9211,512.8539
27.7623,198.868
30.6249,232.9913
21.038,67.06
12.4618,16.3865
17.863,39.1419
37.9165,550.5111
0.8182,1.4624
5.892,23.8583
2.3955,14.5354
2.1324,8.1142
42.7875,810.7567
35.2125,420.9086
23.7613,106.0953
4.9819,24.4237
24.6316,112.0515
23.7262,120.8317
8.7428,17.1399
21.7492,87.8823
19.9854,72.3617
30.8309,277.6586
31.7912,280.1443
2.3607,9.7603
18.7932,59.402
31.3304,253.4388
25.2065,142.9778
42.8388,841.3267
32.9688,313.7373
8.2304,16.6425
3.6214,11.2039
32.1567,314.2613
1.4229,9.1516
29.3302,224.3952
47.0175,1184.4858
28.8162,230.5022
19.4697,58.2433
32.2001,330.0818
22.9668,62.1666
27.3263,182.29
47.0791,1200.9286
19.3665,66.2027
48.0634,1356.1724
45.277,1029.7938
9.87,28.6819
3.5611,11.5053
5.1288,6.7765
1.0093,9.8066
4.8127,26.5483
34.182,429.8929
3.6523,16.017
16.0169,20.0933
42.2593,824.7413
1.2613,7.1545
40.742,753.9353
14.1646,29.0969
5.9964,5.8652
34.8672,429.1338
31.4842,289.3196
43.8859,971.4465
36.78,509.928
40.1937,709.7998
14.1735,29.5179
8.9542,23.1613
37.5557,523.888
40.3611,712.4835
49.5262,1447.6713
20.6896,75.0842
18.6637,36.5945
38.843,645.3073
17.1061,44.2016
46.5448,1189.0615
42.9348,878.0092
21.5068,85.5155
37.5685,495.7129
37.7517,551.8774
5.2459,12.8988
45.1374,1039.0357
25.3121,148.3828
41.3402,729.3511
16.0705,44.3926
44.7866,1031.4233
19.5212,74.1882
0.6408,-1.8814
45.2786,1074.9882
4.6552,17.8045
16.0338,35.482
47.5081,1294.1996
47.5353,1201.6664
28.7146,208.9999
31.6287,312.0025
22.4774,65.7536
14.7312,37.2498
16.5004,41.88
33.6587,324.2486
37.6435,572.4778
39.5998,637.5574
39.5019,687.9992
4.6512,19.5089
24.7716,127.6666
2.9722,17.5122
27.5215,192.794
22.1324,57.0114
44.3964,945.6448
17.6107,42.5262
5.9416,11.8376
7.2353,30.5599
38.0994,550.9422
30.9491,272.4123
5.146,20.4643
4.2969,28.4235
35.0784,449.0246
3.7309,11.5164
41.1108,764.4921
35.3415,451.477
4.1593,18.7451
4.3334,10.8393
49.3333,1489.3164
18.7761,36.8323
18.595,59.0465
40.6587,702.429
47.3677,1252.9935
49.3015,1424.4485
37.6936,522.7141
18.8754,21.9538
4.2667,20.3309
38.8796,603.4629
27.9644,190.5481
21.2687,99.1301
45.3271,1079.9018
5.6488,1.0148
24.682,102.7471
0.6665,-1.0209
23.4862,90.4392
2.9095,11.6006
6.029,33.7198
5.9646,24.2999
32.4956,329.6399
37.3276,541.7885
29.2101,228.2582
48.1124,1265.1649
18.806,34.7376
14.357,34.5441
43.4431,915.4919
11.2574,26.0633
48.1648,1361.0759
0.7065,2.9695
48.497,1339.6895
2.2537,11.9763
44.568,959.1682
26.4323,130.2879
49.6489,1503.3734
3.7824,13.4021
27.7373,174.536
48.4682,1353.525
26.2026,122.6459
31.507,282.9703
34.8179,402.403
22.7816,98.1681
31.4151,246.2178
29.2573,207.0467
45.0678,1030.7753
2.3678,9.2727
14.1201,39.7952
47.5255,1236.1175
44.5242,1076.4128
22.8373,104.3972
31.0446,264.7234
13.9413,34.7466
9.4872,27.137
23.2386,94.6316
17.7323,58.6242
29.2244,203.0966
3.979,18.1639
48.7223,1369.0107
49.3119,1438.935
34.9383,424.0034
26.8512,163.2471
15.5454,55.3242
40.7084,712.5077
34.2681,375.1123
8.2146,19.7907
45.5553,1116.5303
41.1446,755.2398
47.495,1252.4369
36.3134,470.1821
30.7094,254.3058
20.9703,85.8343
46.6432,1175.3057
43.3166,912.2192
2.3564,8.3508
1.4157,11.0137
18.8855,68.0309
40.5466,694.3263
49.3651,1411.3588
7.6058,14.1602
29.7471,253.2606
19.1065,42.4393
48.4987,1340.5577
42.1217,796.4829
41.9326,847.6746
23.4878,94.9152
20.7995,91.9401
13.743,27.9309
2.9131,10.6177
43.2496,920.6515
40.6638,722.4162
49.9859,1539.9937
49.8322,1478.4045
27.816,177.0195
38.4725,583.0489
47.2438,1264.2584
42.4974,852.5864
12.4427,18.5303
22.5822,69.736
6.5451,20.239
47.7071,1248.9595
30.3481,220.122
11.5093,33.3371
33.6179,340.4676
30.9446,237.5603
17.9723,44.8142
5.7665,16.2778
33.6115,347.3352
26.0634,150.2739
38.6387,595.8099
26.0562,181.8704
