Height_cm,Weight_kg,Gender
164.3,57.2,Female
168.4,71.4,Female
177.4,80.2,Male
166.6,64.9,Female
160.8,59.7,Female
167.5,67.6,Female
159.0,69.6,Female
172.5,72.5,Female
163.3,60.2,Female
171.6,74.9,Female
189.8,73.6,Male
186.1,95.1,Male
170.5,77.5,Male
162.0,68.7,Male
179.8,65.6,Male
170.3,75.3,Female
168.3,74.1,Male
174.2,93.8,Male
154.0,61.0,Female
159.9,61.4,Female
174.5,71.0,Female
184.6,102.5,Male
166.1,62.6,Female
161.4,58.6,Male
176.5,76.9,Male
184.2,94.5,Male
165.2,76.9,Female
164.3,66.2,Female
154.3,55.8,Female
165.3,83.0,Male
157.3,53.0,Female
154.3,48.0,Female
175.5,93.1,Male
180.8,85.5,Male
173.5,81.3,Male
174.8,63.6,Male
164.0,74.3,Female
171.5,69.9,Male
163.0,73.7,Female
171.4,82.7,Male
172.3,72.1,Male
154.4,55.6,Female
172.6,75.4,Male
177.4,83.9,Male
176.4,76.9,Male
166.4,66.6,Female
173.7,72.0,Female
158.7,65.7,Female
174.1,71.2,Male
162.1,77.6,Female
169.6,80.6,Male
180.2,74.1,Male
177.0,74.6,Male
157.4,52.3,Female
172.0,90.6,Female
167.9,80.3,Male
154.6,68.1,Female
165.1,61.1,Female
166.7,66.6,Female
190.0,84.9,Male
174.5,69.5,Female
155.4,58.5,Female
165.5,63.7,Male
163.7,68.9,Female
179.5,89.9,Male
168.3,80.7,Female
164.3,68.6,Female
163.9,73.7,Male
181.5,77.0,Male
157.1,64.0,Female
170.1,92.6,Male
181.2,83.2,Male
155.3,58.5,Female
173.1,78.1,Male
168.0,76.9,Male
180.9,85.6,Male
164.9,78.2,Male
154.0,58.7,Female
166.4,71.5,Female
172.3,74.1,Male
170.1,75.9,Male
163.5,70.2,Female
173.8,57.3,Male
156.6,52.2,Female
164.7,81.5,Female
156.5,78.1,Female
159.5,73.2,Female
156.6,57.9,Female
159.2,58.5,Female
170.6,78.0,Male
177.4,91.6,Male
162.9,58.8,Female
178.0,97.7,Male
167.4,57.3,Male
164.2,70.4,Female
160.9,65.2,Female
155.4,67.2,Female
172.2,84.5,Female
176.1,75.8,Male
168.9,62.5,Female
145.8,44.9,Female
158.5,69.7,Female
164.5,71.3,Female
169.1,68.2,Female
156.6,50.0,Female
193.2,97.9,Male
182.3,100.9,Male
176.3,81.1,Male
166.2,67.6,Female
160.3,62.8,Female
154.5,57.7,Female
166.6,69.6,Female
164.7,73.0,Female
159.1,60.9,Female
156.7,57.2,Female
162.4,61.9,Female
162.4,64.7,Female
181.2,78.1,Male
175.5,67.0,Male
165.6,58.8,Female
154.6,63.1,Female
166.6,87.4,Male
164.6,56.4,Female
163.9,55.5,Female
153.7,59.5,Female
170.7,90.5,Male
165.7,73.7,Female
177.2,72.3,Male
187.3,94.7,Male
187.4,87.9,Male
171.6,95.5,Male
162.3,72.7,Female
188.5,77.7,Male
172.1,79.6,Male
161.0,75.5,Female
170.6,66.0,Male
153.0,47.5,Female
171.4,72.8,Female
159.1,67.8,Female
163.8,79.3,Male
175.5,70.5,Male
190.1,97.2,Male
171.2,73.4,Male
178.7,77.2,Male
162.0,77.7,Male
166.9,70.2,Female
183.9,80.4,Male
158.8,61.7,Female
159.7,59.8,Female
172.6,76.0,Male
169.3,67.5,Female
168.9,81.1,Female
172.5,82.4,Male
176.9,80.0,Male
162.2,67.6,Female
172.3,85.8,Female
181.4,92.6,Male
172.5,71.9,Female
177.3,92.2,Male
170.1,75.1,Male
167.4,82.5,Male
156.6,68.7,Female
166.1,69.4,Female
174.7,80.7,Male
168.9,76.4,Male
163.8,65.5,Female
184.3,77.1,Male
174.0,83.6,Male
170.2,78.6,Male
167.9,84.6,Male
181.0,94.8,Male
180.5,84.1,Male
161.9,57.7,Female
168.4,66.1,Female
183.7,68.1,Male
159.2,60.2,Female
152.0,55.8,Female
166.9,69.9,Female
160.1,65.2,Female
179.5,101.1,Male
179.7,85.9,Male
166.8,54.6,Male
170.7,78.1,Male
171.7,68.6,Female
167.7,84.9,Male
167.5,61.4,Female
161.1,60.0,Female
182.3,90.1,Male
153.2,54.6,Female
170.5,70.7,Female
160.6,55.6,Female
179.7,97.5,Male
158.7,63.5,Female
174.0,87.5,Male
160.2,69.7,Female
175.2,65.9,Female
161.9,64.1,Female
164.2,70.5,Female
159.7,66.7,Male
178.2,84.9,Male
177.3,86.9,Male
169.4,73.1,Male
176.3,91.5,Male
161.0,60.9,Male
180.5,86.5,Male
164.0,76.1,Female
173.7,72.7,Male
162.8,71.4,Female
187.1,95.6,Male
171.1,77.2,Female
174.3,84.4,Male
182.2,79.6,Male
174.1,82.4,Male
173.6,65.2,Male
159.2,61.5,Female
173.1,85.6,Male
162.6,54.4,Female
169.7,82.0,Male
157.7,65.5,Female
177.7,83.9,Male
154.0,61.8,Male
175.4,69.7,Male
169.0,81.7,Male
183.7,90.7,Male
182.1,103.5,Male
161.4,73.4,Female
175.4,68.1,Female
168.2,68.0,Male
170.6,69.8,Male
178.1,75.5,Male
157.1,55.5,Female
168.8,67.6,Male
165.1,62.0,Female
180.5,91.0,Male
157.8,55.6,Female
179.1,92.6,Male
169.2,70.9,Male
171.3,85.5,Male
167.3,76.0,Male
167.3,73.7,Male
179.3,91.1,Male
171.9,83.0,Male
159.2,56.7,Female
178.0,89.4,Male
178.3,84.2,Male
172.4,75.4,Male
169.0,63.5,Female
173.6,83.0,Male
164.7,65.1,Female
181.7,80.7,Male
172.8,80.0,Female
157.4,63.4,Female
182.8,88.1,Male
168.8,76.5,Male
174.1,78.3,Male
159.0,74.8,Female
177.9,81.4,Male
162.1,65.4,Female
158.9,69.8,Female
159.0,52.4,Female
177.7,63.4,Male
152.8,59.1,Female
168.5,71.9,Female
171.4,77.0,Male
162.4,76.8,Female
155.3,52.9,Female
175.4,77.3,Male
176.6,84.6,Female
174.5,80.3,Male
159.7,71.9,Female
180.8,77.4,Male
184.3,97.7,Male
183.5,91.8,Male
163.5,76.4,Female
156.8,57.5,Female
183.7,93.0,Male
166.3,71.8,Male
153.8,52.9,Female
169.7,83.1,Female
176.5,69.1,Male
149.8,45.4,Female
161.6,61.6,Female
182.3,93.9,Male
167.7,68.4,Female
160.6,66.2,Female
160.0,63.6,Female
160.0,62.8,Female
167.1,56.1,Male
167.2,90.8,Female
174.4,64.8,Female
157.0,42.3,Female
158.3,63.3,Female
183.5,92.1,Male
172.6,82.0,Male
162.0,68.0,Female
160.9,65.7,Male
177.1,77.5,Male
166.7,71.8,Female
169.4,64.2,Male
160.7,67.2,Female
158.5,61.2,Male
163.0,82.5,Male
183.8,83.3,Male
157.9,69.1,Female
154.8,44.5,Female
158.4,65.0,Female
152.2,51.0,Female
156.3,67.5,Female
183.1,88.7,Male
160.2,63.3,Male
177.7,86.7,Male
169.1,66.0,Male
157.4,53.3,Female
174.2,76.6,Male
160.5,73.5,Female
172.3,82.1,Male
187.4,81.0,Male
153.8,64.1,Female
150.2,60.5,Female
168.9,75.9,Male
192.3,109.9,Male
182.1,88.8,Male
161.1,67.7,Female
160.6,72.2,Female
170.2,65.9,Male
171.8,65.3,Female
172.9,79.0,Male
159.7,64.6,Female
159.1,62.4,Male
183.8,92.4,Male
166.0,68.6,Female
148.0,58.5,Female
170.9,80.0,Female
169.8,70.3,Female
165.5,64.6,Female
173.5,70.9,Male
169.4,67.6,Male
161.4,65.9,Female
158.4,63.9,Female
173.3,79.5,Male
173.0,78.1,Male
169.0,69.9,Female
154.0,53.4,Female
191.4,87.0,Male
161.5,62.2,Female
165.8,63.6,Female
178.6,94.4,Male
171.7,75.4,Male
183.6,82.8,Male
167.6,79.4,Male
183.4,96.3,Male
159.3,59.3,Female
150.7,61.2,Female
182.0,90.6,Male
163.6,57.9,Female
168.5,65.9,Male
168.1,69.5,Female
169.2,68.0,Female
164.0,64.0,Female
180.3,75.5,Male
182.1,82.1,Male
189.5,106.1,Male
151.8,62.4,Female
182.2,87.9,Male
151.1,44.2,Female
182.3,77.0,Male
170.9,69.0,Male
156.0,60.2,Female
173.1,72.5,Male
148.6,49.9,Female
165.4,72.6,Female
167.7,76.4,Male
163.4,61.6,Female
181.2,88.4,Male
171.7,89.5,Male
163.7,67.5,Male
161.5,59.8,Female
168.8,77.4,Male
159.4,67.4,Female
169.0,79.3,Male
158.0,50.8,Female
178.4,85.8,Male
154.6,49.5,Female
156.4,59.4,Female
164.2,66.2,Female
171.5,70.0,Male
163.8,72.3,Female
179.0,91.3,Male
175.4,65.5,Male
172.1,85.4,Female
172.8,77.8,Male
164.0,68.7,Female
167.0,76.7,Female
175.5,67.4,Male
167.0,71.4,Female
168.7,76.1,Male
175.7,88.8,Female
163.6,73.9,Male
167.4,79.5,Male
159.0,60.0,Female
159.6,68.0,Female
173.2,86.7,Male
167.0,85.7,Male
160.2,52.9,Female
160.2,60.8,Female
168.5,66.2,Male
163.8,71.1,Female
159.4,58.3,Female
160.2,49.5,Female
170.5,79.8,Male
167.0,76.1,Female
162.2,73.1,Female
158.7,57.5,Female
176.6,64.6,Male
168.1,75.0,Female
159.9,60.3,Female
155.8,53.6,Female
184.6,98.4,Male
161.2,65.4,Female
167.5,72.6,Female
167.6,83.4,Male
168.8,69.8,Male
169.1,84.4,Male
171.0,77.6,Male
166.5,73.1,Female
164.9,58.1,Female
181.1,88.5,Male
150.0,53.4,Female
178.7,92.8,Male
172.0,81.5,Male
173.2,92.4,Male
164.5,69.5,Female
177.9,83.9,Male
158.2,58.2,Female
167.4,77.7,Female
154.4,57.4,Female
161.7,77.0,Female
176.2,71.3,Male
176.5,74.1,Female
172.4,78.1,Male
158.2,63.2,Female
183.8,80.3,Male
157.9,54.0,Female
173.7,66.0,Male
170.2,62.7,Female
168.6,71.2,Male
173.4,68.8,Female
184.3,88.0,Male
168.2,77.1,Female
156.8,57.0,Female
171.9,79.0,Male
155.9,59.5,Female
166.0,69.4,Male
162.7,71.6,Female
167.3,67.6,Female
175.2,88.2,Female
165.8,68.7,Female
161.7,62.6,Female
179.1,84.0,Male
168.5,71.8,Male
